,CS,TS,DATE,HOUR,TYP
84,EVA75,1553907628,03/30-09:00,09,DEP
85,CAL987,1553908746,03/30-09:19,09,DEP
86,CAL531,1553907874,03/30-09:04,09,DEP
87,EVA265,1553907498,03/30-08:58,08,DEP
88,TTW206,1553909450,03/30-09:30,09,DEP
89,CAL641,1553908041,03/30-09:07,09,DEP
90,EVA67,1553908607,03/30-09:16,09,DEP
91,EVA198,1553909095,03/30-09:24,09,DEP
92,CAL501,1553909189,03/30-09:26,09,DEP
93,EVA807,1553908401,03/30-09:13,09,DEP
94,JAL814,1553908155,03/30-09:09,09,DEP
95,EVA237,1553909327,03/30-09:28,09,DEP
96,CAL977,1553909757,03/30-09:35,09,DEP
97,CPA403,1553908862,03/30-09:21,09,DEP
98,CAL761,1553909568,03/30-09:32,09,DEP
99,EVA271,1553910343,03/30-09:45,09,DEP
100,CAL771,1553910127,03/30-09:42,09,DEP
101,EVA391,1553910003,03/30-09:40,09,DEP
102,EVA397,1553909884,03/30-09:38,09,DEP
103,EVA716,1553910698,03/30-09:51,09,DEP
104,CAL6851,1553918576,03/30-12:02,12,DEP
105,AMU619,1553910609,03/30-09:50,09,DEP
106,CAL69,1553911183,03/30-09:59,09,DEP
107,CAL100,1553911046,03/30-09:57,09,DEP
108,EVA116,1553911311,03/30-10:01,10,DEP
109,EVA227,1553910810,03/30-09:53,09,DEP
110,CAL731,1553910949,03/30-09:55,09,DEP
111,APJ22,1553911438,03/30-10:03,10,DEP
112,EVA201,1553911892,03/30-10:11,10,DEP
113,APJ924,1553911553,03/30-10:05,10,DEP
114,CPA499,1553921018,03/30-12:43,12,DEP
115,CAL152,1553911676,03/30-10:07,10,DEP
116,AXM1511,1553911802,03/30-10:10,10,DEP
117,EVA215,1553912710,03/30-10:25,10,DEP
118,AXM125,1553916584,03/30-11:29,11,DEP
119,EVA801,1553913003,03/30-10:30,10,DEP
120,CPA469,1553913120,03/30-10:32,10,DEP
121,JAL802,1553914421,03/30-10:53,10,DEP
122,EVA255,1553912329,03/30-10:18,10,DEP
123,EVA712,1553912575,03/30-10:22,10,DEP
124,UIA867,1553913824,03/30-10:43,10,DEP
125,AXM7125,1553912191,03/30-10:16,10,DEP
126,CAL831,1553913456,03/30-10:37,10,DEP
127,EVA118,1553914311,03/30-10:51,10,DEP
128,EVA768,1553913375,03/30-10:36,10,DEP
129,EVA172,1553914080,03/30-10:48,10,DEP
130,EVA6,1553914541,03/30-10:55,10,DEP
131,ANA824,1553914939,03/30-11:02,11,DEP
132,CSN8326,1553913683,03/30-10:41,10,DEP
133,PAL896,1553913593,03/30-10:39,10,DEP
134,EVA8,1553915051,03/30-11:04,11,DEP
135,UAL872,1553914168,03/30-10:49,10,DEP
136,CAL909,1553915177,03/30-11:06,11,DEP
137,HDA487,1553916316,03/30-11:25,11,DEP
138,APJ776,1553916182,03/30-11:23,11,DEP
139,CEB313,1553915539,03/30-11:12,11,DEP
140,AMU631,1553915443,03/30-11:10,11,DEP
141,CES2912,1553915296,03/30-11:08,11,DEP
142,TLM399,1553915975,03/30-11:19,11,DEP
143,EVA138,1553915837,03/30-11:17,11,DEP
144,TTW214,1553922982,03/30-13:16,13,DEP
145,CPA564,1553916714,03/30-11:31,11,DEP
146,KAL698,1553916842,03/30-11:34,11,DEP
147,CES2010,1553917090,03/30-11:38,11,DEP
148,CXA880,1553918433,03/30-12:00,12,DEP
149,CXA888,1553916954,03/30-11:35,11,DEP
150,TGW892,1553917504,03/30-11:45,11,DEP
151,AXM804,1553917985,03/30-11:53,11,DEP
152,CXA860,1553918300,03/30-11:58,11,DEP
153,CES2048,1553917788,03/30-11:49,11,DEP
154,SFJ800,1553918759,03/30-12:05,12,DEP
155,TTW258,1553919895,03/30-12:24,12,DEP
156,CSN3024,1553918904,03/30-12:08,12,DEP
157,CRK253,1553919190,03/30-12:13,12,DEP
158,CES2096,1553919412,03/30-12:16,12,DEP
159,VJC941,1553919745,03/30-12:22,12,DEP
160,CPA530,1553920919,03/30-12:41,12,DEP
161,VNL104,1553920245,03/30-12:30,12,DEP
162,CPA421,1553919653,03/30-12:20,12,DEP
163,CSN3022,1553919515,03/30-12:18,12,DEP
164,CSN3052,1553921673,03/30-12:54,12,DEP
165,KAL692,1553920782,03/30-12:39,12,DEP
166,CCA150,1553921148,03/30-12:45,12,DEP
167,CAL104,1553921549,03/30-12:52,12,DEP
168,EVA869,1553921268,03/30-12:47,12,DEP
169,JNA82,1553921787,03/30-12:56,12,DEP
170,JST721,1553921421,03/30-12:50,12,DEP
171,CPA450,1553922517,03/30-13:08,13,DEP
172,JAL816,1553923428,03/30-13:23,13,DEP
173,THA634,1553922742,03/30-13:12,13,DEP
174,CES2038,1553922377,03/30-13:06,13,DEP
175,EVA130,1553922635,03/30-13:10,13,DEP
176,AAR712,1553922858,03/30-13:14,13,DEP
177,ABL794,1553924488,03/30-13:41,13,DEP
178,CCA186,1553923871,03/30-13:31,13,DEP
179,CES2028,1553923546,03/30-13:25,13,DEP
180,CPA495,1553927262,03/30-14:27,14,DEP
181,CHH7918,1553924389,03/30-13:39,13,DEP
182,HVN577,1553924154,03/30-13:35,13,DEP
183,XAX379,1553925388,03/30-13:56,13,DEP
184,JAL804,1553924268,03/30-13:37,13,DEP
185,CAL148,1553925234,03/30-13:53,13,DEP
186,CAL703,1553924787,03/30-13:46,13,DEP
187,TTW202,1553926238,03/30-14:10,14,DEP
188,CAL5254,1553931988,03/30-15:46,15,DEP
189,CAL28,1553925113,03/30-13:51,13,DEP
190,JJA2602,1553925838,03/30-14:03,14,DEP
191,CSN3088,1553924911,03/30-13:48,13,DEP
192,MXD888,1553925498,03/30-13:58,13,DEP
193,CAL835,1553926673,03/30-14:17,14,DEP
194,THA633,1553925970,03/30-14:06,14,DEP
195,CAL5706,1553926810,03/30-14:20,14,DEP
196,CAL521,1553927388,03/30-14:29,14,DEP
197,CAL114,1553927160,03/30-14:26,14,DEP
198,CAL783,1553926945,03/30-14:22,14,DEP
199,SIA877,1553927507,03/30-14:31,14,DEP
200,EVA855,1553928069,03/30-14:41,14,DEP
201,CPA475,1553927958,03/30-14:39,14,DEP
202,TTW212,1553927844,03/30-14:37,14,DEP
203,CAL172,1553927728,03/30-14:35,14,DEP
204,CAL178,1553928452,03/30-14:47,14,DEP
205,VNL186,1553928198,03/30-14:43,14,DEP
206,CAL751,1553928338,03/30-14:45,14,DEP
207,CAL915,1553929157,03/30-14:59,14,DEP
208,CSN3098,1553928687,03/30-14:51,14,DEP
209,AMU609,1553929396,03/30-15:03,15,DEP
210,CAL108,1553928582,03/30-14:49,14,DEP
211,EVA811,1553928920,03/30-14:55,14,DEP
212,EVA158,1553930167,03/30-15:16,15,DEP
213,EVA102,1553929287,03/30-15:01,15,DEP
214,CPA467,1553929512,03/30-15:05,15,DEP
215,TGW874,1553928823,03/30-14:53,14,DEP
216,JST724,1553931840,03/30-15:44,15,DEP
217,CCA196,1553932207,03/30-15:50,15,DEP
218,CES5008,1553931680,03/30-15:41,15,DEP
219,VNL106,1553934847,03/30-16:34,16,DEP
220,MAS367,1553933017,03/30-16:03,16,DEP
221,EVA160,1553932091,03/30-15:48,15,DEP
222,CAL975,1553931162,03/30-15:32,15,DEP
223,EVA196,1553931429,03/30-15:37,15,DEP
224,EVA277,1553932538,03/30-15:55,15,DEP
225,CAL553,1553932786,03/30-15:59,15,DEP
226,CAL793,1553932309,03/30-15:51,15,DEP
227,CAL517,1553932898,03/30-16:01,16,DEP
228,JAL822,1553933275,03/30-16:07,16,DEP
229,TTW505,1553933147,03/30-16:05,16,DEP
230,JJA2612,1553934448,03/30-16:27,16,DEP
231,CPA443,1553933397,03/30-16:09,16,DEP
232,XAX373,1553933527,03/30-16:12,16,DEP
233,CAL186,1553933748,03/30-16:15,16,DEP
234,CAL989,1553934209,03/30-16:23,16,DEP
235,TGW899,1553936743,03/30-17:05,17,DEP
236,CAL106,1553936349,03/30-16:59,16,DEP
237,CAL162,1553935244,03/30-16:40,16,DEP
238,CAL5837,1553934592,03/30-16:29,16,DEP
239,EVA722,1553937682,03/30-17:21,17,DEP
240,CAL116,1553935424,03/30-16:43,16,DEP
241,CAL919,1553937576,03/30-17:19,17,DEP
242,EVA871,1553937225,03/30-17:13,17,DEP
243,CAL503,1553937113,03/30-17:11,17,DEP
244,AAR714,1553936482,03/30-17:01,17,DEP
245,CAL129,1553936600,03/30-17:03,17,DEP
246,UIA759,1553936861,03/30-17:07,17,DEP
247,TTW606,1553936983,03/30-17:09,17,DEP
248,VNL158,1553938616,03/30-17:36,17,DEP
249,CPA420,1553937350,03/30-17:15,17,DEP
250,THY6499,1553938735,03/30-17:38,17,DEP
251,KLM807,1553937468,03/30-17:17,17,DEP
252,CAL150,1553938496,03/30-17:34,17,DEP
253,CSN3096,1553938370,03/30-17:32,17,DEP
254,TTW305,1553937826,03/30-17:23,17,DEP
255,CAL122,1553939849,03/30-17:57,17,DEP
256,CAL112,1553939220,03/30-17:47,17,DEP
257,CES2910,1553943055,03/30-18:50,18,DEP
258,CAL5322,1553939613,03/30-17:53,17,DEP
259,CAL158,1553939727,03/30-17:55,17,DEP
260,CES2050,1553939331,03/30-17:48,17,DEP
261,CES5002,1553946180,03/30-19:43,19,DEP
262,CAL12,1553940610,03/30-18:10,18,DEP
263,CSZ9074,1553940279,03/30-18:04,18,DEP
264,SIA879,1553940387,03/30-18:06,18,DEP
265,EVA180,1553940759,03/30-18:12,18,DEP
266,CPA405,1553939476,03/30-17:51,17,DEP
267,CCA836,1553939958,03/30-17:59,17,DEP
268,CSN3046,1553940505,03/30-18:08,18,DEP
269,APJ926,1553942222,03/30-18:37,18,DEP
270,ACA18,1553940877,03/30-18:14,18,DEP
271,CAL923,1553941205,03/30-18:20,18,DEP
272,EVA857,1553943841,03/30-19:04,19,DEP
273,CAL24,1553942107,03/30-18:35,18,DEP
274,EVA758,1553942824,03/30-18:47,18,DEP
275,CRK255,1553941555,03/30-18:25,18,DEP
276,CAL5384,1553943354,03/30-18:55,18,DEP
277,TTW232,1553942939,03/30-18:48,18,DEP
278,CSN3020,1553941892,03/30-18:31,18,DEP
279,ANZ78,1553942340,03/30-18:39,18,DEP
280,SFJ810,1553942701,03/30-18:45,18,DEP
281,PAL897,1553944898,03/30-19:21,19,DEP
282,CPA473,1553943961,03/30-19:06,19,DEP
283,CES5006,1553943584,03/30-18:59,18,DEP
284,CCA190,1553944463,03/30-19:14,19,DEP
285,CAL5853,1553943470,03/30-18:57,18,DEP
286,TTW307,1553945025,03/30-19:23,19,DEP
287,VJC843,1553944756,03/30-19:19,19,DEP
288,VJC943,1553944067,03/30-19:07,19,DEP
289,CSN3012,1553945141,03/30-19:25,19,DEP
290,CAL927,1553945240,03/30-19:27,19,DEP
291,CSZ9080,1553946233,03/30-19:43,19,DEP
292,EVA12,1553945787,03/30-19:36,19,DEP
293,CCA410,1553945941,03/30-19:39,19,DEP
294,KAL694,1553946097,03/30-19:41,19,DEP
295,CPA565,1553945400,03/30-19:30,19,DEP
296,EVA32,1553946357,03/30-19:45,19,DEP
297,EVA29,1553945400,03/30-19:30,19,DEP
298,CPA451,1553945700,03/30-19:35,19,DEP
299,EVA36,1553947740,03/30-20:09,20,DEP
300,CHH7948,1553946300,03/30-19:45,19,DEP
301,EVA18,1553947200,03/30-20:00,20,DEP
302,CDG4078,1553948580,03/30-20:23,20,DEP
303,CCA418,1553946900,03/30-19:55,19,DEP
304,CHH7946,1553947200,03/30-20:00,20,DEP
305,CRK283,1553947560,03/30-20:06,20,DEP
306,JCC8969,1553947200,03/30-20:00,20,DEP
307,AMU615,1553950920,03/30-21:02,21,DEP
308,CPA531,1553947800,03/30-20:10,20,DEP
309,THA635,1553947800,03/30-20:10,20,DEP
310,HBH3512,1553948400,03/30-20:20,20,DEP
311,JSA722,1553948400,03/30-20:20,20,DEP
312,EVA150,1553948700,03/30-20:25,20,DEP
313,EVA261,1553949000,03/30-20:30,20,DEP
314,FDX14,1553949000,03/30-20:30,20,DEP
315,EVA205,1553949900,03/30-20:45,20,DEP
316,CAL5895,1553950800,03/30-21:00,21,DEP
317,PAL895,1553950800,03/30-21:00,21,DEP
318,APJ860,1553950800,03/30-21:00,21,DEP
319,HDA483,1553952600,03/30-21:30,21,DEP
320,CPA479,1553952900,03/30-21:35,21,DEP
321,EVA827,1553953800,03/30-21:50,21,DEP
322,AHK681,1553878028,03/30-00:47,00,DEP
323,EVA52,1553955000,03/30-22:10,22,DEP
324,THY25,1553955000,03/30-22:10,22,DEP
325,HVN573,1553955600,03/30-22:20,22,DEP
326,CAL921,1553955600,03/30-22:20,22,DEP
327,SCO893,1553955600,03/30-22:20,22,DEP
328,EVA61,1553956200,03/30-22:30,22,DEP
329,TTW537,1553957700,03/30-22:55,22,DEP
330,CAL5897,1553957100,03/30-22:45,22,DEP
331,CAL5835,1553958000,03/30-23:00,23,DEP
332,EVA315,1553959200,03/30-23:20,23,DEP
333,EVA6529,1553959200,03/30-23:20,23,DEP
334,CAL837,1553959200,03/30-23:20,23,DEP
335,EVA672,1553959500,03/30-23:25,23,DEP
336,EVA28,1553959800,03/30-23:30,23,DEP
337,XAX377,1553960100,03/30-23:35,23,DEP
338,EVA87,1553877891,03/30-00:44,00,DEP
339,EVA26,1553960400,03/30-23:40,23,DEP
340,CAL53,1553960700,03/30-23:45,23,DEP
341,UAE367,1553960700,03/30-23:45,23,DEP
342,CAL63,1553961000,03/30-23:50,23,DEP
343,CAL8,1553961000,03/30-23:50,23,DEP
344,CAL32,1553961300,03/30-23:55,23,DEP
345,EVA10,1553877091,03/30-00:31,00,DEP
346,EVA16,1553878166,03/30-00:49,00,DEP
347,CAL51,1553961300,03/30-23:55,23,DEP
348,CAL61,1553961540,03/30-23:59,23,DEP
349,JJA2685,1553876173,03/30-00:16,00,ARR
350,CRK284,1553875931,03/30-00:12,00,ARR
351,VNL105,1553877508,03/30-00:38,00,ARR
352,TWB663,1553876563,03/30-00:22,00,ARR
353,TLM394,1553875368,03/30-00:02,00,ARR
354,EVA179,1553877315,03/30-00:35,00,ARR
355,TGW897,1553878545,03/30-00:55,00,ARR
356,CPA408,1553878036,03/30-00:47,00,ARR
357,JST11,1553878403,03/30-00:53,00,ARR
358,CKK261,1553878694,03/30-00:58,00,ARR
359,CAL5834,1553877620,03/30-00:40,00,ARR
360,TTW506,1553879787,03/30-01:16,01,ARR
361,ABL791,1553877993,03/30-00:46,00,ARR
362,CAO1091,1553877771,03/30-00:42,00,ARR
363,VNL179,1553879902,03/30-01:18,01,ARR
364,VNL107,1553880081,03/30-01:21,01,ARR
365,AXM242,1553882140,03/30-01:55,01,ARR
366,CAL5836,1553906842,03/30-08:47,08,ARR
367,CAL52,1553891159,03/30-04:25,04,ARR
368,CLX7345,1553893640,03/30-05:07,05,ARR
369,EVA17,1553895904,03/30-05:45,05,ARR
370,EVA682,1553893049,03/30-04:57,04,ARR
371,EVA6536,1553895140,03/30-05:32,05,ARR
372,EVA35,1553892677,03/30-04:51,04,ARR
373,CAL7,1553895269,03/30-05:34,05,ARR
374,EVA25,1553892288,03/30-04:44,04,ARR
375,CAL23,1553894135,03/30-05:15,05,ARR
376,VJC840,1553892878,03/30-04:54,04,ARR
377,EVA27,1553896944,03/30-06:02,06,ARR
378,CAL31,1553893552,03/30-05:05,05,ARR
379,TGW898,1553893885,03/30-05:11,05,ARR
380,CAL76,1553897901,03/30-06:18,06,ARR
381,EVA9,1553893720,03/30-05:08,05,ARR
382,CAL64,1553900202,03/30-06:56,06,ARR
383,EVA11,1553896392,03/30-05:53,05,ARR
384,EVA31,1553894367,03/30-05:19,05,ARR
385,CAL54,1553895596,03/30-05:39,05,ARR
386,CAL5992,1553913087,03/30-10:31,10,ARR
387,CAL5898,1553902397,03/30-07:33,07,ARR
388,CAL3,1553896187,03/30-05:49,05,ARR
389,EVA262,1553895433,03/30-05:37,05,ARR
390,JST723,1553894950,03/30-05:29,05,ARR
391,EVA15,1553898003,03/30-06:20,06,ARR
392,EVA51,1553897482,03/30-06:11,06,ARR
393,CAL62,1553902210,03/30-07:30,07,ARR
394,EVA30,1553895774,03/30-05:42,05,ARR
395,CAL11,1553896367,03/30-05:52,05,ARR
396,AHK680,1553897759,03/30-06:15,06,ARR
397,CAL74,1553906687,03/30-08:44,08,ARR
398,HVN572,1553897898,03/30-06:18,06,ARR
399,EVA206,1553898802,03/30-06:33,06,ARR
400,CAL5994,1553918793,03/30-12:06,12,ARR
401,EVA88,1553904510,03/30-08:08,08,ARR
402,TTW217,1553904269,03/30-08:04,08,ARR
403,TLM398,1553902834,03/30-07:40,07,ARR
404,CAL5998,1553929197,03/30-14:59,14,ARR
405,CPA498,1553915512,03/30-11:11,11,ARR
406,EVA149,1553906353,03/30-08:39,08,ARR
407,APJ859,1553907383,03/30-08:56,08,ARR
408,APJ923,1553906959,03/30-08:49,08,ARR
409,EVA828,1553907215,03/30-08:53,08,ARR
410,CAL5235,1553928563,03/30-14:49,14,ARR
411,AXM1510,1553908180,03/30-09:09,09,ARR
412,CSN8325,1553907686,03/30-09:01,09,ARR
413,PAL896,1553908453,03/30-09:14,09,ARR
414,CAL922,1553909074,03/30-09:24,09,ARR
415,AXM124,1553913452,03/30-10:37,10,ARR
416,PAC225,1553909244,03/30-09:27,09,ARR
417,HDA486,1553911391,03/30-10:03,10,ARR
418,AXM7124,1553908745,03/30-09:19,09,ARR
419,AMU632,1553909710,03/30-09:35,09,ARR
420,CES2909,1553909872,03/30-09:37,09,ARR
421,CEB312,1553910618,03/30-09:50,09,ARR
422,APJ23,1553911935,03/30-10:12,10,ARR
423,CPA564,1553911341,03/30-10:02,10,ARR
424,KAL697,1553911080,03/30-09:58,09,ARR
425,TTW231,1553911107,03/30-09:58,09,ARR
426,CES2009,1553912322,03/30-10:18,10,ARR
427,CXA879,1553913726,03/30-10:42,10,ARR
428,CXA887,1553911595,03/30-10:06,10,ARR
429,TGW892,1553912212,03/30-10:16,10,ARR
430,VNL151,1553914196,03/30-10:49,10,ARR
431,AXM803,1553912737,03/30-10:25,10,ARR
432,CXA859,1553913194,03/30-10:33,10,ARR
433,CES2047,1553913607,03/30-10:40,10,ARR
434,CAL113,1553915345,03/30-11:09,11,ARR
435,CSN3023,1553913944,03/30-10:45,10,ARR
436,CRK252,1553914832,03/30-11:00,11,ARR
437,EVA113,1553914539,03/30-10:55,10,ARR
438,SFJ811,1553914970,03/30-11:02,11,ARR
439,CPA530,1553915173,03/30-11:06,11,ARR
440,TTW302,1553919759,03/30-12:22,12,ARR
441,KAL691,1553914717,03/30-10:58,10,ARR
442,VJC940,1553912884,03/30-10:28,10,ARR
443,CES2049,1553914393,03/30-10:53,10,ARR
444,CPA421,1553914418,03/30-10:53,10,ARR
445,CCA149,1553915907,03/30-11:18,11,ARR
446,CSN3021,1553915660,03/30-11:14,11,ARR
447,CSN3051,1553917909,03/30-11:51,11,ARR
448,EVA892,1553918237,03/30-11:57,11,ARR
449,JNA81,1553916328,03/30-11:25,11,ARR
450,AAR711,1553916962,03/30-11:36,11,ARR
451,CAL159,1553916935,03/30-11:35,11,ARR
452,CCA185,1553916605,03/30-11:30,11,ARR
453,JAL813,1553917373,03/30-11:42,11,ARR
454,CPA450,1553917093,03/30-11:38,11,ARR
455,JST721,1553916810,03/30-11:33,11,ARR
456,THA634,1553917547,03/30-11:45,11,ARR
457,HVN576,1553917281,03/30-11:41,11,ARR
458,CES2037,1553917758,03/30-11:49,11,ARR
459,CES2027,1553916021,03/30-11:20,11,ARR
460,CAL602,1553919557,03/30-12:19,12,ARR
461,CPA494,1553922805,03/30-13:13,13,ARR
462,TTW655,1553918194,03/30-11:56,11,ARR
463,JAL821,1553919595,03/30-12:19,12,ARR
464,CHH7917,1553918043,03/30-11:54,11,ARR
465,CAL151,1553920242,03/30-12:30,12,ARR
466,XAX378,1553919063,03/30-12:11,12,ARR
467,ABL793,1553920799,03/30-12:39,12,ARR
468,CSN3087,1553915734,03/30-11:15,11,ARR
469,MXD888,1553919873,03/30-12:24,12,ARR
470,CAL111,1553921871,03/30-12:57,12,ARR
471,CAL121,1553920494,03/30-12:34,12,ARR
472,CAL107,1553919384,03/30-12:16,12,ARR
473,JJA2601,1553922175,03/30-13:02,13,ARR
474,TTW241,1553920108,03/30-12:28,12,ARR
475,THA632,1553920993,03/30-12:43,12,ARR
476,CAL904,1553921171,03/30-12:46,12,ARR
477,CAL702,1553923440,03/30-13:24,13,ARR
478,EVA852,1553922102,03/30-13:01,13,ARR
479,SIA876,1553920685,03/30-12:38,12,ARR
480,CAL189,1553920896,03/30-12:41,12,ARR
481,EVA177,1553923178,03/30-13:19,13,ARR
482,CAL838,1553921649,03/30-12:54,12,ARR
483,CPA474,1553922532,03/30-13:08,13,ARR
484,TGW874,1553922994,03/30-13:16,13,ARR
485,CAL992,1553924006,03/30-13:33,13,ARR
486,VNL101,1553923202,03/30-13:20,13,ARR
487,CSN3097,1553922331,03/30-13:05,13,ARR
488,EVA169,1553924504,03/30-13:41,13,ARR
489,EVA808,1553923372,03/30-13:22,13,ARR
490,AMU610,1553923631,03/30-13:27,13,ARR
491,FDX49,1553926186,03/30-14:09,14,ARR
492,CAL642,1553923754,03/30-13:29,13,ARR
493,CPA406,1553924189,03/30-13:36,13,ARR
494,EVA105,1553924657,03/30-13:44,13,ARR
495,TTW211,1553925068,03/30-13:51,13,ARR
496,JST724,1553926923,03/30-14:22,14,ARR
497,EVA282,1553924616,03/30-13:43,13,ARR
498,CCA195,1553926907,03/30-14:21,14,ARR
499,CES5007,1553926560,03/30-14:16,14,ARR
500,CAL988,1553925995,03/30-14:06,14,ARR
501,CAL161,1553925535,03/30-13:58,13,ARR
502,MAS366,1553926534,03/30-14:15,14,ARR
503,CAL550,1553925872,03/30-14:04,14,ARR
504,CAL502,1553928124,03/30-14:42,14,ARR
505,VNL185,1553929585,03/30-15:06,15,ARR
506,CAL155,1553928887,03/30-14:54,14,ARR
507,FDX169,1553929036,03/30-14:57,14,ARR
508,JAL805,1553928333,03/30-14:45,14,ARR
509,CAL5884,1553930675,03/30-15:24,15,ARR
510,XAX372,1553927603,03/30-14:33,14,ARR
511,JJA2611,1553930795,03/30-15:26,15,ARR
512,CAL532,1553927110,03/30-14:25,14,ARR
513,EVA802,1553930349,03/30-15:19,15,ARR
514,CPA400,1553927793,03/30-14:36,14,ARR
515,EVA272,1553929112,03/30-14:58,14,ARR
516,CAL157,1553929667,03/30-15:07,15,ARR
517,CAL752,1553929790,03/30-15:09,15,ARR
518,THY6486,1553930029,03/30-15:13,15,ARR
519,EVA131,1553931042,03/30-15:30,15,ARR
520,CAL792,1553931281,03/30-15:34,15,ARR
521,TGW899,1553930826,03/30-15:27,15,ARR
522,CAL782,1553930910,03/30-15:28,15,ARR
523,CRK254,1553928425,03/30-14:47,14,ARR
524,EVA711,1553931546,03/30-15:39,15,ARR
525,UIA868,1553930147,03/30-15:15,15,ARR
526,CAL834,1553932283,03/30-15:51,15,ARR
527,CAL862,1553931402,03/30-15:36,15,ARR
528,CAL978,1553930345,03/30-15:19,15,ARR
529,AAR713,1553932677,03/30-15:57,15,ARR
530,KLM807,1553931915,03/30-15:45,15,ARR
531,CAL910,1553931717,03/30-15:41,15,ARR
532,TTW207,1553932506,03/30-15:55,15,ARR
533,CAL5321,1553946493,03/30-19:48,19,ARR
